threads,config,run,elapsed,grind,fom,trace_bytes,trace_human
24,PInsight_Full_TBB,4,92.00,0.210674,4746.68,1693358240,1.6G
24,PInsight_Full_TBB,5,91.00,0.206689,4838.18,1659807608,1.6G
32,PInsight_Full_TBB,1,81.00,0.185151,5400.99,1515100056,1.5G
32,PInsight_Full_TBB,2,86.00,0.197163,5071.94,1605753040,1.5G
32,PInsight_Full_TBB,3,87.00,0.197293,5068.60,1599915736,1.5G
32,PInsight_Full_TBB,4,87.00,0.197203,5070.93,1609059160,1.5G
32,PInsight_Full_TBB,5,86.00,0.195654,5111.06,1595839208,1.5G
48,PInsight_Full_TBB,1,85.00,0.193622,5164.70,1605888208,1.5G
48,PInsight_Full_TBB,2,84.00,0.191617,5218.74,1589411864,1.5G
48,PInsight_Full_TBB,3,82.00,0.186997,5347.67,1548884664,1.5G
48,PInsight_Full_TBB,4,85.00,0.193981,5155.14,1612721416,1.6G
48,PInsight_Full_TBB,5,83.00,0.188924,5293.15,1569945296,1.5G
8,PInsight_50_STANDBY,1,140.00,0.316420,3160.36,4469064,4.7M
8,PInsight_50_STANDBY,2,120.00,0.284893,3510.09,4464968,4.7M
8,PInsight_50_STANDBY,3,150.00,0.330865,3022.38,4469064,4.7M
8,PInsight_50_STANDBY,4,140.00,0.313968,3185.04,4464968,4.7M
8,PInsight_50_STANDBY,5,130.00,0.298399,3351.21,4473160,4.7M
16,PInsight_50_STANDBY,1,96.00,0.218024,4586.65,8290560,8.3M
16,PInsight_50_STANDBY,2,99.00,0.224535,4453.64,8282440,8.3M
16,PInsight_50_STANDBY,3,99.00,0.226153,4421.79,8307016,8.3M
16,PInsight_50_STANDBY,4,99.00,0.226200,4420.87,8298824,8.3M
16,PInsight_50_STANDBY,5,99.00,0.226075,4423.31,8298824,8.3M
24,PInsight_50_STANDBY,1,86.00,0.195366,5118.60,12124488,12M
24,PInsight_50_STANDBY,2,85.00,0.194643,5137.62,12132680,12M
24,PInsight_50_STANDBY,3,84.00,0.191761,5214.84,12128584,12M
24,PInsight_50_STANDBY,4,86.00,0.196451,5090.33,12136776,12M
24,PInsight_50_STANDBY,5,86.00,0.196584,5086.88,12112200,12M
32,PInsight_50_STANDBY,1,79.00,0.178972,5587.48,15962440,16M
32,PInsight_50_STANDBY,2,82.00,0.186792,5353.55,15946056,16M
32,PInsight_50_STANDBY,3,82.00,0.187715,5327.23,15958344,16M
32,PInsight_50_STANDBY,4,82.00,0.185979,5376.94,15962440,16M
32,PInsight_50_STANDBY,5,83.00,0.188752,5297.96,15966536,16M
48,PInsight_50_STANDBY,1,77.00,0.176549,5664.14,23536232,23M
48,PInsight_50_STANDBY,2,77.00,0.174852,5719.11,23585600,23M
48,PInsight_50_STANDBY,3,75.00,0.171969,5815.01,23884104,24M
48,PInsight_50_STANDBY,4,75.00,0.172078,5811.33,23585096,23M
48,PInsight_50_STANDBY,5,77.00,0.176178,5676.08,23781704,24M
8,PInsight_50_STANDBY_TBB,1,140.00,0.307933,3247.46,4473160,4.7M
8,PInsight_50_STANDBY_TBB,2,130.00,0.299593,3337.86,4473160,4.7M
8,PInsight_50_STANDBY_TBB,3,130.00,0.304272,3286.53,4469064,4.7M
8,PInsight_50_STANDBY_TBB,4,130.00,0.289711,3451.72,4469064,4.7M
8,PInsight_50_STANDBY_TBB,5,130.00,0.301631,3315.31,4468992,4.7M
16,PInsight_50_STANDBY_TBB,1,110.00,0.240502,4157.97,8302920,8.3M
16,PInsight_50_STANDBY_TBB,2,110.00,0.252037,3967.67,8302920,8.3M
16,PInsight_50_STANDBY_TBB,3,92.00,0.210592,4748.53,8290632,8.3M
16,PInsight_50_STANDBY_TBB,4,110.00,0.254439,3930.21,8302920,8.3M
16,PInsight_50_STANDBY_TBB,5,110.00,0.258872,3862.92,8298824,8.3M
24,PInsight_50_STANDBY_TBB,1,85.00,0.194780,5133.99,12120392,12M
24,PInsight_50_STANDBY_TBB,2,84.00,0.190737,5242.82,12128584,12M
24,PInsight_50_STANDBY_TBB,3,85.00,0.194446,5142.82,12132608,12M
24,PInsight_50_STANDBY_TBB,4,84.00,0.192235,5201.97,12128584,12M
24,PInsight_50_STANDBY_TBB,5,85.00,0.193642,5164.17,12112200,12M
32,PInsight_50_STANDBY_TBB,1,81.00,0.184999,5405.43,15958344,16M
32,PInsight_50_STANDBY_TBB,2,79.00,0.179044,5585.23,15929672,16M
32,PInsight_50_STANDBY_TBB,3,81.00,0.184167,5429.85,15958344,16M
