threads,config,run,elapsed,grind,fom,trace_bytes,trace_human
8,Baseline,1,17.00,0.517799,1931.25,,
8,Baseline,2,17.00,0.515470,1939.98,,
8,Baseline,3,17.00,0.505205,1979.40,,
8,Baseline,4,16.00,0.471683,2120.07,,
16,Baseline,1,13.00,0.396927,2519.36,,
16,Baseline,2,12.00,0.374943,2667.07,,
16,Baseline,3,11.00,0.335777,2978.17,,
16,Baseline,4,12.00,0.360596,2773.19,,
24,Baseline,1,10.00,0.308588,3240.57,,
24,Baseline,2,11.00,0.322271,3102.98,,
24,Baseline,3,11.00,0.342913,2916.20,,
24,Baseline,4,11.00,0.322981,3096.15,,
32,Baseline,1,11.00,0.323131,3094.72,,
32,Baseline,2,10.00,0.307365,3253.46,,
32,Baseline,3,11.00,0.320399,3121.11,,
32,Baseline,4,11.00,0.319493,3129.96,,
8,Baseline_TBB,1,9.60,0.291746,3427.63,,
8,Baseline_TBB,2,10.00,0.306520,3262.43,,
8,Baseline_TBB,3,6.80,0.207461,4820.17,,
8,Baseline_TBB,4,10.00,0.315314,3171.44,,
16,Baseline_TBB,1,6.60,0.200630,4984.29,,
16,Baseline_TBB,2,6.70,0.204054,4900.66,,
16,Baseline_TBB,3,6.70,0.202940,4927.55,,
16,Baseline_TBB,4,7.10,0.216098,4627.52,,
24,Baseline_TBB,1,6.50,0.198475,5038.42,,
24,Baseline_TBB,2,6.60,0.201344,4966.62,,
24,Baseline_TBB,3,6.60,0.200740,4981.57,,
24,Baseline_TBB,4,6.20,0.188380,5308.42,,
32,Baseline_TBB,1,6.70,0.204125,4898.95,,
32,Baseline_TBB,2,6.80,0.207628,4816.30,,
32,Baseline_TBB,3,7.10,0.216013,4629.36,,
32,Baseline_TBB,4,6.80,0.205799,4859.11,,
8,PInsight_Full,1,20.00,0.616148,1622.99,390523344,373M
8,PInsight_Full,2,20.00,0.601522,1662.45,379339608,363M
8,PInsight_Full,3,19.00,0.577029,1733.02,373206456,357M
8,PInsight_Full,4,21.00,0.630526,1585.98,398863664,381M
16,PInsight_Full,1,14.00,0.426126,2346.72,308529448,295M
16,PInsight_Full,2,20.00,0.594982,1680.72,405122208,387M
16,PInsight_Full,3,15.00,0.443018,2257.24,312310704,299M
16,PInsight_Full,4,15.00,0.446599,2239.15,313019456,299M
24,PInsight_Full,1,13.00,0.398432,2509.84,322063568,308M
24,PInsight_Full,2,13.00,0.409451,2442.29,324987968,311M
24,PInsight_Full,3,13.00,0.396158,2524.25,314226696,301M
24,PInsight_Full,4,15.00,0.442781,2258.45,331842232,317M
32,PInsight_Full,1,14.00,0.418091,2391.83,352483704,337M
32,PInsight_Full,2,14.00,0.412330,2425.24,362782344,347M
32,PInsight_Full,3,14.00,0.424531,2355.54,360377560,345M
32,PInsight_Full,4,14.00,0.436786,2289.45,361205600,345M
8,PInsight_Full_TBB,1,14.00,0.429493,2328.33,277163712,265M
8,PInsight_Full_TBB,2,13.00,0.401763,2489.03,259233288,248M
8,PInsight_Full_TBB,3,14.00,0.414161,2414.52,275664000,264M
8,PInsight_Full_TBB,4,11.00,0.349438,2861.74,233486184,224M
16,PInsight_Full_TBB,1,11.00,0.338859,2951.08,256650576,246M
16,PInsight_Full_TBB,2,9.00,0.275095,3635.11,217393352,208M
16,PInsight_Full_TBB,3,9.00,0.274138,3647.79,216045840,207M
16,PInsight_Full_TBB,4,11.00,0.338013,2958.46,256560608,246M
24,PInsight_Full_TBB,1,12.00,0.362409,2759.31,288484192,276M
24,PInsight_Full_TBB,2,13.00,0.397993,2512.61,311088800,298M
24,PInsight_Full_TBB,3,10.00,0.318488,3139.83,274891216,263M
24,PInsight_Full_TBB,4,9.20,0.281030,3558.34,257075552,246M
32,PInsight_Full_TBB,1,9.20,0.278595,3589.44,275152928,263M
32,PInsight_Full_TBB,2,9.10,0.275776,3626.14,261945984,251M
32,PInsight_Full_TBB,3,9.50,0.290120,3446.85,276906160,265M
32,PInsight_Full_TBB,4,13.00,0.383915,2604.75,343450512,329M
8,PInsight_50_STANDBY,1,16.00,0.476702,2097.75,4473160,4.7M
8,PInsight_50_STANDBY,2,16.00,0.495260,2019.14,4469064,4.7M
8,PInsight_50_STANDBY,3,17.00,0.510156,1960.19,4473160,4.7M
8,PInsight_50_STANDBY,4,17.00,0.531614,1881.06,4473160,4.7M
16,PInsight_50_STANDBY,1,13.00,0.380380,2628.95,8307016,8.3M
16,PInsight_50_STANDBY,2,14.00,0.417367,2395.97,8302920,8.3M
16,PInsight_50_STANDBY,3,11.00,0.336529,2971.51,8298824,8.3M
16,PInsight_50_STANDBY,4,14.00,0.413404,2418.94,8302920,8.3M
24,PInsight_50_STANDBY,1,10.00,0.310443,3221.20,12132680,12M
24,PInsight_50_STANDBY,2,11.00,0.329838,3031.79,12136776,12M
24,PInsight_50_STANDBY,3,9.80,0.296956,3367.50,12128584,12M
24,PInsight_50_STANDBY,4,12.00,0.366833,2726.04,12124488,12M
32,PInsight_50_STANDBY,1,10.00,0.313839,3186.35,15958416,16M
32,PInsight_50_STANDBY,2,11.00,0.325530,3071.91,15958344,16M
32,PInsight_50_STANDBY,3,10.00,0.319313,3131.72,15962440,16M
32,PInsight_50_STANDBY,4,11.00,0.329744,3032.65,15901000,16M
8,PInsight_50_STANDBY_TBB,1,11.00,0.349032,2865.07,4473160,4.7M
8,PInsight_50_STANDBY_TBB,2,10.00,0.306251,3265.29,4469064,4.7M
8,PInsight_50_STANDBY_TBB,3,11.00,0.347941,2874.05,4473160,4.7M
8,PInsight_50_STANDBY_TBB,4,7.70,0.233950,4274.41,4473160,4.7M
16,PInsight_50_STANDBY_TBB,1,6.60,0.202260,4944.13,8307016,8.3M
16,PInsight_50_STANDBY_TBB,2,7.50,0.228566,4375.11,8298752,8.3M
16,PInsight_50_STANDBY_TBB,3,6.40,0.194644,5137.59,8302920,8.3M
16,PInsight_50_STANDBY_TBB,4,7.70,0.233363,4285.16,8302920,8.3M
24,PInsight_50_STANDBY_TBB,1,6.90,0.209344,4776.84,12136776,12M
24,PInsight_50_STANDBY_TBB,2,6.60,0.200240,4994.01,12132680,12M
24,PInsight_50_STANDBY_TBB,3,6.70,0.202815,4930.59,12132680,12M
