threads,config,run,elapsed,grind,fom,trace_bytes,trace_human
24,PInsight_50_STANDBY_TBB,4,6.50,0.198263,5043.80,12140872,12M
32,PInsight_50_STANDBY_TBB,1,6.50,0.197418,5065.40,15970632,16M
32,PInsight_50_STANDBY_TBB,2,6.20,0.189861,5267.00,15970632,16M
32,PInsight_50_STANDBY_TBB,3,6.60,0.200190,4995.26,15937864,16M
32,PInsight_50_STANDBY_TBB,4,6.40,0.195929,5103.90,15966536,16M
8,HPCToolkit,1,14.00,0.411196,2431.93,1975614,2.0M
8,HPCToolkit,2,16.00,0.494491,2022.28,2242320,2.2M
8,HPCToolkit,3,13.00,0.407658,2453.04,1963806,2.0M
8,HPCToolkit,4,13.00,0.387293,2582.02,1884767,1.9M
16,HPCToolkit,1,10.00,0.310556,3220.03,2991910,3.0M
16,HPCToolkit,2,10.00,0.314544,3179.21,3004467,3.0M
16,HPCToolkit,3,10.00,0.315136,3173.23,2990267,3.0M
16,HPCToolkit,4,10.00,0.304815,3280.67,2951398,2.9M
24,HPCToolkit,1,9.30,0.283785,3523.79,3985778,4.0M
24,HPCToolkit,2,8.90,0.270853,3692.04,3896952,3.9M
24,HPCToolkit,3,9.20,0.280744,3561.96,3990727,4.0M
24,HPCToolkit,4,9.00,0.273390,3657.77,3869547,3.9M
32,HPCToolkit,1,9.00,0.274444,3643.73,5048042,5.0M
32,HPCToolkit,2,9.40,0.285851,3498.32,5225447,5.2M
32,HPCToolkit,3,9.60,0.290700,3439.98,5297454,5.3M
32,HPCToolkit,4,9.30,0.281560,3551.63,5186267,5.1M
