threads,config,run,elapsed,grind,fom,trace_bytes,trace_human
8,Baseline,1,14.00,0.536621,1863.51,,
8,Baseline_TBB,1,7.70,0.305303,3275.44,,
8,PInsight_Full,1,16.00,0.649168,1540.43,221311216,212M
8,PInsight_Full_TBB,1,10.00,0.398235,2511.08,130326528,125M
8,PInsight_50_STANDBY,1,14.00,0.544847,1835.38,4473160,4.7M
8,PInsight_50_STANDBY_TBB,1,6.40,0.253451,3945.53,4473160,4.7M
8,HPCToolkit,1,12.00,0.494128,2023.77,1808086,1.8M
8,ScoreP,1,ERR,ERR,ERR,10478,16K
8,Nsight_Systems,1,29.00,1.155267,865.60,416709884,398M
