[01:18:54.153809601] (+0.000000449) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400DA9, buf = 0x8032E6F0, count = 12, dest = 0, tag = 1 }
[01:18:54.153810285] (+0.000000684) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400DA9, buf = 0x8032E6F0, count = 12, dest = 0, tag = 1 }
[01:18:54.153810587] (+0.000000302) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400E18, buf = 0x8032E810, count = 12, source = 2, tag = 1 }
[01:18:54.153811103] (+0.000000516) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400E18, buf = 0x8032E810, count = 12, source = 2, tag = 1 }
[01:18:54.153812343] (+0.000001240) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x40110C, sendbuf = 0x8032E660, recvbuf = 0x8032E668, count = 1, mpi_op = 0x6026A0 }
[01:18:54.153814907] (+0.000002564) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 3 }, { mpirank = 0, mpi_codeptr = 0x400E18, buf = 0x6B3756D0, count = 12, source = 1, tag = 1 }
[01:18:54.153816134] (+0.000001227) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 3 }, { mpirank = 0, mpi_codeptr = 0x40110C, sendbuf = 0x6B375520, recvbuf = 0x6B375528, count = 1, mpi_op = 0x6026A0 }
[01:18:54.153819501] (+0.000003367) vm lttng_pinsight_mpi:MPI_Allreduce_end: { cpu_id = 3 }, { mpirank = 0, mpi_codeptr = 0x40110C, sendbuf = 0x6B375520, recvbuf = 0x6B375528, count = 1, mpi_op = 0x6026A0 }
[01:18:54.153819623] (+0.000000122) vm lttng_pinsight_mpi:MPI_Allreduce_end: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x40110C, sendbuf = 0x8032E660, recvbuf = 0x8032E668, count = 1, mpi_op = 0x6026A0 }
[01:18:54.153819795] (+0.000000172) vm lttng_pinsight_mpi:MPI_Allreduce_end: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x40110C, sendbuf = 0xBCCADAE0, recvbuf = 0xBCCADAE8, count = 1, mpi_op = 0x6026A0 }
[01:18:54.153819868] (+0.000000073) vm lttng_pinsight_mpi:MPI_Allreduce_end: { cpu_id = 0 }, { mpirank = 3, mpi_codeptr = 0x40110C, sendbuf = 0xEBC5E560, recvbuf = 0xEBC5E568, count = 1, mpi_op = 0x6026A0 }
[01:18:54.153820552] (+0.000000684) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400D23, buf = 0x8032E7B0, count = 12, dest = 2, tag = 0 }
[01:18:54.153820763] (+0.000000211) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 0 }, { mpirank = 3, mpi_codeptr = 0x400D67, buf = 0xEBC5E590, count = 12, source = 2, tag = 0 }
[01:18:54.153820919] (+0.000000156) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400D23, buf = 0x8032E7B0, count = 12, dest = 2, tag = 0 }
[01:18:54.153821144] (+0.000000225) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400D67, buf = 0x8032E690, count = 12, source = 0, tag = 0 }
[01:18:54.153823649] (+0.000002505) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400D23, buf = 0xBCCADC30, count = 12, dest = 3, tag = 0 }
[01:18:54.153824030] (+0.000000381) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400D23, buf = 0xBCCADC30, count = 12, dest = 3, tag = 0 }
[01:18:54.153824263] (+0.000000233) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 0 }, { mpirank = 3, mpi_codeptr = 0x400D67, buf = 0xEBC5E590, count = 12, source = 2, tag = 0 }
[01:18:54.153824302] (+0.000000039) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400D67, buf = 0xBCCADB10, count = 12, source = 1, tag = 0 }
[01:18:54.153824553] (+0.000000251) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 0 }, { mpirank = 3, mpi_codeptr = 0x400DA9, buf = 0xEBC5E5F0, count = 12, dest = 2, tag = 1 }
[01:18:54.153824820] (+0.000000267) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400D67, buf = 0xBCCADB10, count = 12, source = 1, tag = 0 }
[01:18:54.153825031] (+0.000000211) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 0 }, { mpirank = 3, mpi_codeptr = 0x400DA9, buf = 0xEBC5E5F0, count = 12, dest = 2, tag = 1 }
[01:18:54.153825104] (+0.000000073) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400DA9, buf = 0xBCCADB70, count = 12, dest = 1, tag = 1 }
[01:18:54.153825437] (+0.000000333) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400DA9, buf = 0xBCCADB70, count = 12, dest = 1, tag = 1 }
[01:18:54.153825590] (+0.000000153) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 0 }, { mpirank = 3, mpi_codeptr = 0x40110C, sendbuf = 0xEBC5E560, recvbuf = 0xEBC5E568, count = 1, mpi_op = 0x6026A0 }
[01:18:54.153825702] (+0.000000112) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400E18, buf = 0xBCCADC90, count = 12, source = 3, tag = 1 }
[01:18:54.153826314] (+0.000000612) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x400E18, buf = 0xBCCADC90, count = 12, source = 3, tag = 1 }
[01:18:54.153826922] (+0.000000608) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 1 }, { mpirank = 2, mpi_codeptr = 0x40110C, sendbuf = 0xBCCADAE0, recvbuf = 0xBCCADAE8, count = 1, mpi_op = 0x6026A0 }
[01:18:54.153834513] (+0.000007591) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 3 }, { mpirank = 0, mpi_codeptr = 0x400D23, buf = 0x6B375670, count = 12, dest = 1, tag = 0 }
[01:18:54.153835147] (+0.000000634) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 3 }, { mpirank = 0, mpi_codeptr = 0x400D23, buf = 0x6B375670, count = 12, dest = 1, tag = 0 }
[01:18:54.153835514] (+0.000000367) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 3 }, { mpirank = 0, mpi_codeptr = 0x400E18, buf = 0x6B3756D0, count = 12, source = 1, tag = 1 }
[01:18:54.153841429] (+0.000005915) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400D67, buf = 0x8032E690, count = 12, source = 0, tag = 0 }
[01:18:54.153841781] (+0.000000352) vm lttng_pinsight_mpi:MPI_Send_begin: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400DA9, buf = 0x8032E6F0, count = 12, dest = 0, tag = 1 }
[01:18:54.153842182] (+0.000000401) vm lttng_pinsight_mpi:MPI_Send_end: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400DA9, buf = 0x8032E6F0, count = 12, dest = 0, tag = 1 }
[01:18:54.153842457] (+0.000000275) vm lttng_pinsight_mpi:MPI_Recv_begin: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400E18, buf = 0x8032E810, count = 12, source = 2, tag = 1 }
[01:18:54.153842820] (+0.000000363) vm lttng_pinsight_mpi:MPI_Recv_end: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x400E18, buf = 0x8032E810, count = 12, source = 2, tag = 1 }
[01:18:54.153843467] (+0.000000647) vm lttng_pinsight_mpi:MPI_Allreduce_begin: { cpu_id = 2 }, { mpirank = 1, mpi_codeptr = 0x40110C, sendbuf = 0x8032E660, recvbuf = 0x8032E668, count = 1, mpi_op = 0x6026A0 }
